Nombre Tabla|Tipo|Campos|Descripcion|Resultado
#temp_eComerceExportaArt|TEMPORAL (CREATE TABLE)|Created_date DATETIME; sku VARCHAR(25); attribute_set_code VARCHAR(100); product_type VARCHAR(20); categories VARCHAR(max); product_websites VARCHAR(20); name VARCHAR(max); description VARCHAR(max); weight FLOAT; product_online INT; tax_class_name VARCHAR(10); visibility VARCHAR(30); price MONEY; special_price MONEY; special_price_from_date DATETIME; special_price_to_date DATETIME; price_installments MONEY; price_twelve MONEY; price_eighteen MONEY; url_key VARCHAR(300); base_image VARCHAR(300); small_image VARCHAR(300); thumbnail_image VARCHAR(300); additional_attributes VARCHAR(max); qty INT; configurable_variations VARCHAR(100); bundle_price_type VARCHAR(20); bundle_sku_type VARCHAR(20); bundle_price_view VARCHAR(20); bundle_weight_type VARCHAR(20); bundle_values VARCHAR(max); bundle_shipment_type VARCHAR(20); meta_title VARCHAR(500); meta_keywords VARCHAR(500); meta_description VARCHAR(500); oferta INT; ahorro_cotorro INT; exclusivo_online INT; descuento INT; related_skus VARCHAR(250); crosssell_skus VARCHAR(250); upsell_skus VARCHAR(250)|Tabla temporal principal que almacena los articulos procesados con toda la estructura del CSV de exportacion para Magento/MA. Se llena con el INSERT principal (linea 2508) uniendo articulos validados con precios y propiedades.|Contiene los articulos simples listos para exportar. Se usa para actualizar (UPDATE) y crear nuevos (INSERT) en eComerceExportaArt. Se trunca despues de la sincronizacion.
#Listadoarticulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Nombrelargoe; Familia; Linea; Marcae; Estatus; existencia; preciocont (Precio); Preciocred; Descripcion1; Volumetrico; rtipo (Tipo); MetaPalabras1E; MetaDescripcion1E; list3|Listado base de articulos elegibles. Se obtiene de Art con filtros: Estatus ALTA/BLOQUEADO; sip_productos con estatus_propiedad concluido y fotografia CONCLUIDO; Solo_SELP=0; excluye familias/lineas bloqueadas; VENTA; MERCANCIA DE LINEA; no Servicio/Juego; no VIST. JOIN con PropreListaDFinal para precios contado y credito (suc 0 y 90). JOIN con Condicion (TipoCondicion=Contado; Condicion=CONTADO MA). JOIN con VTASCCondicionesCredVtaLinea para regla 1393 (precio credito INM 12M).|Primera tabla del flujo. Es el universo completo de articulos candidatos con precios. Se usa como base para derivar #articulosIEMay; #articulos; #ArticulosPromocion; precios y categorias.
#articulosIEMay|TEMPORAL (SELECT INTO)|Articulo; familia_intelisis; linea_intelisis; IE; May|Identifica articulos con propiedades especiales: IE (Import Elite) cuando valor=ELITE ESPECIAL; MAYORISTA cuando valor!=0; OUTLET cuando valor=SI. Se obtiene de items_propiedad + familia_propiedad + catalogo_propiedad + catalogo_valores_posibles JOIN con #Listadoarticulos.|Marca articulos como IE/MAYORISTA/OUTLET para que viajen independientemente de existencia o para asignar existencia=200. Se usa en #articulos para determinar exclusivoweb y existencia virtual.
#AlmacenesPrincipales|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes principales configurados en TablaStd con TablaSt=DM0285AlmacenPrincipal. Se insertan con GROUP BY Nombre y Valor.|Parametriza los almacenes principales para las reglas de existencia. Se usa para validar disponibilidad de articulos en almacenes principales.
#DisponiblePorAlmacenP|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Articulos disponibles en almacenes principales. Se llena con ArtDisponible JOIN #AlmacenesPrincipales donde Disponible >= Cantidad configurada.|Contiene la disponibilidad real de cada articulo en almacenes principales. Se usa en las reglas de existencia para determinar si el articulo puede viajar a la tienda virtual.
#AlmacenesSecundarios|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes secundarios configurados en TablaStd con TablaSt=DM0285AlmacenesSecundarios.|Parametriza almacenes secundarios para reglas de existencia complementarias.
#AlmacenesRespaldo|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes de respaldo configurados en TablaStd con TablaSt=DM0285AlmacenRespaldo.|Parametriza almacenes de respaldo como capa adicional de validacion de existencia.
#DisponiblePorAlmacenSReglaUno|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 1 (VTASCReglasEcommerce IdReglasEcommerce=1).|Valida articulos con existencia segun parametros de la regla 1 en almacenes secundarios.
#DisponiblePorAlmacenSReglaDos|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 2 (VTASCReglasEcommerce IdReglasEcommerce=2).|Valida articulos con existencia segun parametros de la regla 2 (aplica para no-muebles como motocicletas y lineas especificas).
#DisponiblePorAlmacenSReglaTres|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 3 (VTASCReglasEcommerce IdReglasEcommerce=3).|Valida articulos CALZADO con existencia segun parametros de la regla 3.
