Nombre Tabla|Tipo|Campos|Descripcion|Resultado
#temp_eComerceExportaArt|TEMPORAL (CREATE TABLE)|Created_date DATETIME; sku VARCHAR(25); attribute_set_code VARCHAR(100); product_type VARCHAR(20); categories VARCHAR(max); product_websites VARCHAR(20); name VARCHAR(max); description VARCHAR(max); weight FLOAT; product_online INT; tax_class_name VARCHAR(10); visibility VARCHAR(30); price MONEY; special_price MONEY; special_price_from_date DATETIME; special_price_to_date DATETIME; price_installments MONEY; price_twelve MONEY; price_eighteen MONEY; url_key VARCHAR(300); base_image VARCHAR(300); small_image VARCHAR(300); thumbnail_image VARCHAR(300); additional_attributes VARCHAR(max); qty INT; configurable_variations VARCHAR(100); bundle_price_type VARCHAR(20); bundle_sku_type VARCHAR(20); bundle_price_view VARCHAR(20); bundle_weight_type VARCHAR(20); bundle_values VARCHAR(max); bundle_shipment_type VARCHAR(20); meta_title VARCHAR(500); meta_keywords VARCHAR(500); meta_description VARCHAR(500); oferta INT; ahorro_cotorro INT; exclusivo_online INT; descuento INT; related_skus VARCHAR(250); crosssell_skus VARCHAR(250); upsell_skus VARCHAR(250)|Tabla temporal principal que almacena los articulos procesados con toda la estructura del CSV de exportacion para Magento/VIU.|Contiene los articulos simples listos para exportar.
art|TABLA PERMANENTE|Articulo; NombreCorto; Descripcion1; Volumen; Peso; Tipo; Categoria; Familia; Linea|Tabla maestra de articulos en Intelisis.|Base de donde se extrae la mercancia inicial.
sip_excluir_productos|TABLA PERMANENTE|IdExcluirProducto; TipoExclusion; VIU|Tabla que marca que articulos o marcas excluir. Se usa el filtro VIU = 1.|Filtra basura o productos no deseados.
sip_productos|TABLA PERMANENTE|Articulo; VIUTV; EstatusPropiedad; EstatusFotografia; SoloSELP|Controla si el articulo ya fue fotografiado y si puede ir a Tienda Virtual de VIU.|Filtro de calidad de imagenes.
excluir_familia_linea|TABLA PERMANENTE|Familia; Linea; VIU|Tabla para bloquear lineas completas de productos para VIU.|Excluye categorias.
eCommerceExist|TABLA PERMANENTE|Articulo; Existencia; Almacen|Contiene existencias sincronizadas de Ecommerce.|Base de inventario.
ArtLinea|TABLA PERMANENTE|Linea; Descripcion|Catalogo de lineas de productos.|Nombres de linea.
#Listadoarticulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Nombrelargoe; Familia; Linea; Marcae; Estatus; existencia; preciocont (Precio); Preciocred; Descripcion1; Volumetrico; rtipo (Tipo); MetaPalabras1E; MetaDescripcion1E; list3|Listado base de articulos elegibles. Se obtiene de Art con filtros para VIU.|Primera tabla del flujo. Es el universo completo de articulos.
#articulosIEMay|TEMPORAL (SELECT INTO)|Articulo; familia_intelisis; linea_intelisis; IE; May|Identifica articulos con propiedades especiales: IE, MAYORISTA, OUTLET.|Se usa para determinar existencia virtual de VIU.
TablaStd|TABLA PERMANENTE|TablaSt; Nombre; Valor|Parametros del sistema (Ej. DM0285AlmacenPrincipal).|Parametriza almacenes para reglas.
#AlmacenesPrincipales|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes principales configurados en TablaStd.|Parametriza los almacenes principales.
#AlmacenesSecundarios|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes secundarios configurados en TablaStd.|Parametriza almacenes secundarios.
#AlmacenesRespaldo|TEMPORAL (CREATE TABLE)|Almacen VARCHAR(10); Cantidad INT; Almacenes INT|Almacenes de respaldo.|Parametriza el respaldo de inventario.
VTASCReglasEcommerce|TABLA PERMANENTE|IdReglasEcommerce; AlmacenesPrincipales; AlmacenesSecundarios; AlmacenRespaldo; ArtPorAlmacenPrincipal|Tabla que dicta cuanta existencia minima debe haber por tipo de almacen para VIU.|Condiciona el pase de articulos por inventario.
ArtDisponible|TABLA PERMANENTE|Empresa; Almacen; Articulo; Disponible|Existencia detallada por almacen.|Se suma contra las reglas de VTASCReglasEcommerce.
#DisponiblePorAlmacenP|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Disponible INT; Regla INT|Total de existencia de un articulo en los almacenes Principales.|Paso intermedio para reglas de inventario.
#articulos|TEMPORAL (SELECT INTO)|Articulo; Nombrecorto; Familia; Linea; Marcae; existencia; rtipo; Preciocont; exclusivoweb; May; IE|Tabla depurada despues de evaluar #Listadoarticulos contra reglas de existencia y almacenes.|Filtro final de existencia antes de procesar marketing y categorias.
ecommerceactualizarimagenes|TABLA PERMANENTE|Articulo; Estatus; Imagen|Tabla de imagenes de Magento.|Sirve para descartar articulos que no tienen imagen procesada.
SCMArtImagen|TABLA PERMANENTE|Articulo; Imagen; Valor; Orden|Tabla auxiliar de imagenes.|Join con ecommerceactualizarimagenes.
#propsgeneral|TEMPORAL (SELECT INTO)|IdCatalogoPropiedad; Propiedad; AtributoMagento; AtributoType; TipoVariacion|Define los atributos que seran exportados mapeandolos a la nomenclatura de Magento.|Catalogo base de atributos permitidos.
items_propiedad|TABLA PERMANENTE|articulo; id_fam_prop; valor_posible; valor|Valores de las propiedades asociadas al articulo en Intelisis.|Relacion principal articulo-propiedad.
familia_propiedad|TABLA PERMANENTE|id; propiedad; familia; linea|Catalogo que asocia una propiedad a una Familia/Linea.|Filtra que atributos aplican a la familia.
catalogo_propiedad|TABLA PERMANENTE|id; propiedad; atributoMagento; attributetype|Catalogo general de propiedades y como se llaman en Magento.|Traduccion de atributos Intelisis-Magento.
catalogo_valores_posibles|TABLA PERMANENTE|id; valor|Valores discretos de las propiedades (ej. 'Rojo', 'Chico').|Traduccion de IDs de valor a texto.
#artprops|TEMPORAL (SELECT INTO)|articulo; propiedad; valor; atributoMagento; Familia; Linea; TipoVariacion|Extrae los valores de propiedad especificos para cada articulo.|Valores literales de cada atributo por articulo.
eCommerceSetPropiedades|TABLA PERMANENTE|IdFamPropiedad; Familia; Linea; NombreSet; VKORG|Define que "Attribute Set" de Magento le toca a cada familia para VIU.|Asocia la categoria macro en Magento (ej. Default, Ropa).
#SETprop|TEMPORAL (SELECT INTO)|Familia; Linea; nombreset|Determina el Attribute Set Code de Magento basado en eCommerceSetPropiedades.|Agrupa articulos para asignar su Set.
#AtributosAdd|TEMPORAL (SELECT INTO)|Articulo; Adicionales|Concatena en formato clave=valor todos los atributos adicionales de Magento.|String final para additional_attributes.
EcommerceRelCatMagento|TABLA PERMANENTE|ClassN2Intelisis; ClassN3Virtual; Ruta|Mapeo crudo de categorias de Intelisis a Magento para VIU.|Contiene las rutas completas (ej. Audio/Audifonos).
#categFinal|TEMPORAL (CREATE TABLE)|FamIntelisis VARCHAR(100); LinIntelisis VARCHAR(100); LinVirtual VARCHAR(100); Categoria VARCHAR(300)|Rutas de categoria Magento procesadas y limpias.|Asigna categorias a articulos.
SDSIPCarrusel|TABLA PERMANENTE|Articulo; IdCategoria; VKORG|Asocia un articulo a multiples categorias tipo carrusel (donde VKORG=2).|Aparece en carruseles especiales de VIU.
SCSIPCategorias|TABLA PERMANENTE|IdSipCategoria; Categoria|Nombres de las categorias de los carruseles.|Se concatena en la ruta de categorias.
PropreListaDFinal|TABLA PERMANENTE|Articulo; Lista; Sucursal; Precio|Precios finales desde Intelisis (Lista 0 y 90, o segun VIU).|Fuente principal de precios base.
#precioart|TEMPORAL (SELECT INTO)|articulo; precio_lista; precio_venta; porcentaje_dscto; precio_dif|Calcula precio final de venta basado en Sucursal 90 y 0 para VIU.|Precios finales al CSV.
#TempTop10|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Costo MONEY; Venta MONEY; Posicion INT; Inventario MONEY|Calcula un Top 10 de articulos basado en Costo, Venta e Inventario.|Base numerica para Upsells.
#ArticulosUpsell|TEMPORAL (SELECT INTO)|ArticuloBase; Upsell|Relaciona un articulo con productos mas caros de la misma linea.|String final para upsell_skus.
eComerceMarketing|TABLA PERMANENTE|IdMarketing; Articulo|Tabla puente para inserciones manuales de marketing local.|Gestiona relaciones cruzadas adicionales.
#padreshijos|TEMPORAL (CREATE TABLE)|padre VARCHAR(25); hijo VARCHAR(25); sku VARCHAR(10); variaciones VARCHAR(250)|Relaciona articulos simples bajo un configurable para tallas y colores.|Construye productos configurables (tallas/colores).
#posicionamiento|TEMPORAL (SELECT INTO)|articulo; posicion|Determina el ordenamiento de los productos.|Posicion en los grids de Magento.
eComerceExportaArt|TABLA PERMANENTE|Campos Magento + StatusIntelisis|Destino final en SQL Server.|Aqui termina el SP.
