BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Accion,Campos Principales,Nombre TablaSAP,API SAP
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,VTASCVentaCupon,Select,Codigo,,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,Comercializadora.dbo.Personal,Select,"Departamento, Puesto",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,TablaStD,Select,"Valor, TablaSt, Nombre",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,VTASCVentaCupon,Update,"FechaUtilizacion, IdEcommerce, Codigo",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,Agente,Select,"Sucursal, Agente, SucursalEmpresa",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,Sucursal,Select,Sucursal,,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,,VTASCVentaCupon,Insert,"Codigo, Agente, FechaEnvio, Cliente, Sucursal",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,,Personal,Select,"registro, Estatus",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,,Cte,Select,"Cliente, Curp, Rfc",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,,Venta,Select,"Cliente, ID",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,,MOVBITACORA,Select,"ID, Fecha",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,,CTETEl,Select,"Cliente, Lada, Telefono",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,,CteEnviarA,Select,"Cliente, ID",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getPlazos,,Condicion,Select,"DiasVencimiento, Condicion",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getPlazos,,VTASCCondicionesCredVtaLinea,Select,"Condicion, Mensualidades, TiendaVirtual, CondicionPropre",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/GetUnificationWalletStatus,,CREDIHUnificacionMonedero,Select,"Estatus, FechaUnificacion, IdEcommerce",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getCreditAccount/{pAccount},,CREDIHProspectoACliente,Select,"Prospecto, Cliente, Fecha",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,Cte,Select,"SerieMonedero, SerieMonederoVIU, Cliente",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,CteEnviarA,Select,"Cliente, ID, Categoria",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,Venta,Select,"Saldo, Mov, MovID, Estatus, Situacion",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,VentaD,Select,ID,,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,CXC,Select,"saldo, estatus, Mov, cliente",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,cte,Select,"CRMCantidad, cliente",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,,CREDIHUnificacionMonedero,Insert,"IdEcommerce, ClienteCredito, ClienteContado, FechaRegistro",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,POST /credit/validateSms,,VTASDCodigoVerificacioneCommerce,Select,"IdCodigoVerificacioneCommerce, Cliente, IdCarrito, Codigo",,
