BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Stored Procedures,Accion,Campos Principales,Nombre TablaSAP,API SAP
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,Cxc,SPCXCSaldosClientesPendiente,Select,"Cliente, ID, Mov, MovID, Vencimiento, Importe, Impuestos, Saldo, Estatus, PadreMAVI, PadreIDMAVI, ImpApoyoDima, SaldoApoyoDima, CobroCteFinal, ClienteEnviarA, SucursalOrigen, Concepto, Empresa, FechaEmision, Condicion, CteFinal, BonifCC",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,MovTipo,SPCXCSaldosClientesPendiente,Select,"Mov, Modulo, Clave (CXC.F, CXC.CAP, CXC.CA, CXC.C, CXC.AE, CXC.D, CXC.CD)",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,MovCampoExtra,SPCXCSaldosClientesPendiente,Select,"ID, Modulo, CampoExtra (NC_COBRO, NCV_COBRO, NCM_COBRO, NC_FACTURA, NCV_FACTURA), Valor",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,CxcMavi,SPCXCSaldosClientesPendiente,Select,"ID, DiasVencActMAVI, DiasInacActMAVI",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,TcIRM0906_ConfigDivisionYParam,SPCXCSaldosClientesPendiente,Select,"DV, DI",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,CxcD,SPCXCSaldosClientesPendiente,Select,"ID, Aplica, AplicaID, Importe",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,BonifSIMavi,SPCXCSaldosClientesPendiente,Select,"IDCxc, MaviUltimoPago",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,Condicion,SPCXCSaldosClientesPendiente,Select,"Condicion, DAPeriodo, DANumeroDocumentos",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,VentasCanalMAVI,SPCXCSaldosClientesPendiente,Select,"ID, Categoria",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,Cte_Final,SPCXCSaldosClientesPendiente,Select,"ClienteF, ApellidoPaterno, ApellidoMaterno, Nombre, RFC",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,AuxiliarP,SPCXCSaldosClientesPendiente,Select,"Mov, MovID, Modulo (VTAS), Abono, EsCancelacion",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,Venta,SPCXCSaldosClientesPendiente,Select,"ID, Mov, MovID, FormaPagoTipo",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,VentaD,SPCXCSaldosClientesPendiente,Select,"ID, Renglon, Articulo, Cantidad",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,Art,SPCXCSaldosClientesPendiente,Select,"Articulo, Descripcion1",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,MaviBonificacionMoV,SPCXCSaldosClientesPendiente,Select,"Movimiento",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,Cte,SPCXCSaldosClientesPendiente,Select,"Cliente, Nombre",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,dbo.Fn_MaviCalculaMoratorios,SPCXCSaldosClientesPendiente,Select,"(Función Escalar SQL) @ID -> Moratorios",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,dbo.FN_MAVIRM0906CobxPol,SPCXCSaldosClientesPendiente,Select,"(Función Escalar SQL) @ID -> CobroXPolitica",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,dbo.FNCXCPagoLiquidaBBVA,SPCXCSaldosClientesPendiente,Select,"(Función Escalar SQL) @PadreMAVI, @PadreIDMAVI -> LiquidaCon",,
Intelisis,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getClienteSaldo/{cliente},FacturaMethods.getClienteSaldo,dbo.FnMavi1erVencimPendPagoPP,SPCXCSaldosClientesPendiente,Select,"(Función Escalar SQL) @PadreMAVI, @PadreIDMAVI -> PagoPuntual",,
