BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Accion,Campos Principales,Nombre TablaSAP,API SAP
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ApplyPaymentNeko,CustomerServiceMethods.ApplyPaymentNeko,CXCCFacturaMultipagoBBVA,Select,"Referencia",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ApplyPaymentNeko,CustomerServiceMethods.ApplyPaymentNeko,CXCCFacturaMultipagoBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/UpdateStatusPaymentNeko,CustomerServiceMethods.UpdateStatusPaymentNeko,CXCCFacturaMultipagoBBVA,Update,"EstatusPago (→ 'CONFIRMADO' o 'FALLIDO') WHERE Referencia LIKE base%",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ApplyPaymentAdvanced,CustomerServiceMethods.ApplyPaymentAdvanced,CXCCFacturaMultipagoBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago, Origen",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/UpdateStatusPaymentAdvanced,CustomerServiceMethods.UpdateStatusPaymentAdvanced,CXCCFacturaMultipagoBBVA,Select,"Referencia, EstatusPago",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/UpdateStatusPaymentAdvanced,CustomerServiceMethods.UpdateStatusPaymentAdvanced,CXCCFacturaMultipagoBBVA,Update,"EstatusPago, FechaRastreoSTP",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/GetSTPAccount,CustomerServiceMethods.GetSTPAccount,CXCCFacturaMultipagoBBVA,Insert,"Cliente, Mov, MovID, Monto, Referencia, Origen",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/GetSalesChannelsSTP,CustomerServiceMethods.GetSalesChannelsSTP,CteEnviarA,Select,"ID, Cliente, UENMAVI",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GET /customerService/ValidateSTPAccount,CustomerServiceMethods.ValidateSTPAccount,Cte,Select,"CuentaCLABESTP, Cliente",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GET /customerService/ValidateSTPAccount,CustomerServiceMethods.ValidateSTPAccount,dbo.FnVTASDesEncripta,Select,"(Función Escalar SQL)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GET /customerService/bbvaKeyNeko,CustomerServiceMethods.GetBBVAKeyNeko,master.dbo.dbacseguridad,Select,"*",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerTipoGarantia,CustomerServiceMethods.obtenerTipoGarantia,VTASCProveedorActivoGarantia,Select,"TipoGarantia, Marca, Telefono, Proveedor, Linea",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerTipoGarantia,CustomerServiceMethods.obtenerTipoGarantia,Art,Select,"Proveedor, MarcaE, Linea, Articulo",,
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/unirCuenta,CustomerServiceMethods.unirCuenta,Cte,Update,"IDMagento, Cliente",,
