Archivo,Linea,Tipo,EnCatch,UsaLaExcepcion,Metodo,Mensaje,Propuesta,Decision
Controllers\CatalogController.cs,45,Logger.SAP,SI,SI,CargaCompleta,[CATALOG cargaCompleta ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,65,Logger.SAP,SI,SI,DeletePromociones,[CATALOG deletePromociones ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,81,Logger.SAP,SI,SI,DeleteReservations,[CATALOG deleteReservations ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,97,Logger.SAP,SI,SI,Attributes,[CATALOG attributes ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,113,Logger.SAP,SI,SI,GeneralAttributes,[CATALOG generalAttributes ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,129,Logger.SAP,SI,SI,AttributeSets,[CATALOG attributeSets ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,145,Logger.SAP,SI,SI,AttributeSetChildren,[CATALOG attributeSetChildren ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,161,Logger.SAP,SI,SI,Categories,[CATALOG categories ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,184,Logger.SAP,SI,SI,Children,[CATALOG children ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,200,Logger.SAP,SI,SI,Children,[CATALOG children ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CatalogController.cs,216,Logger.SAP,SI,SI,ProductWithWebsites,[CATALOG productWithWebsites ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CreditController.cs,77,Logger.SAP,SI,SI,GetCreditAmounts,[CREDIT GetCreditAmounts ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CreditController.cs,128,Logger.SAP,SI,SI,SaveImagesProductosMx,[CREDIT SaveImagesProductosMx ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CreditController.cs,143,Logger.SAP,SI,SI,GetCondicionesPago,[CREDIT GetCondicionesPago ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CustomerServiceController.cs,63,Logger.SAP,SI,SI,validarCliente,ERROR validarCliente SAP,"CONSERVAR (excepcion, se escribe en disco)",
