Controlador,URL,DatabaseConnection,NombreTabla,Accion (Select/Insert/Update/Delete),Campos Principales,Nombre TablaSAP,API SAP
WebApiMagento.Controllers.CustomersController,POST /customer/setCustomerList,Intelisis,cte,Select,"Cliente, eMail1",,
WebApiMagento.Controllers.CustomersController,POST /customer/setCustomerList,Intelisis,VTASCListaNegra,Select,"Cliente, Correo",,
WebApiMagento.Controllers.CustomersController,POST /customer/setCustomerList,Intelisis,VTASCListaNegra,Insert,"NumPedido, Nombre, Correo, Direccion, Cliente, FechaRegistro",,
WebApiMagento.Controllers.CustomersController,POST /customer/setCustomerList,Intelisis,VTASCListaBlanca,Select,"Cliente, Correo",,
WebApiMagento.Controllers.CustomersController,POST /customer/setCustomerList,Intelisis,VTASCListaBlanca,Insert,"NumPedido, Nombre, Correo, Direccion, Cliente, FechaRegistro",,
WebApiMagento.Controllers.CustomersController,POST /customer/setCustomerList,Intelisis,VTASCListaBlanca,Delete,"Correo",,
WebApiMagento.Controllers.CustomersController,POST /customer/getCustomerList,Intelisis,VTASCListaNegra,Select,"Lista (literal 'Negra'), NumPedido, Nombre, Correo, Direccion, Cliente, FechaRegistro (filtro: Correo)",,
WebApiMagento.Controllers.CustomersController,POST /customer/getCustomerList,Intelisis,VTASCListaBlanca,Select,"Lista (literal 'Blanca'), NumPedido, Nombre, Correo, Direccion, Cliente, FechaRegistro (filtro: Correo)",,
WebApiMagento.Controllers.CustomersController,POST /customer/deleteCustomerList,Intelisis,VTASCListaBlanca,Delete,"Correo",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setRecommenderList,Intelisis,CREDIDCodigoRecomendador,Select,"IdCodigoRecomendador, Codigo, Cliente, FechaCanjeado, FechaVencimiento",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setRecommenderList,Intelisis,CREDIDCodigoRecomendador,Update,"Nombre, Telefono, Parentesco, Nomina (WHERE Codigo)",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setRecommenderList,Android,MAVIANDROID01.ServicioAndroid.dbo.TcAAEA00030_Mensajes,Select,"IdMensaje, Descripcion",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setRecommenderList,Android,MAVIANDROID01.ServicioAndroid.dbo.TcAAea00030_EnvioMensajes,Insert,"IdRegistro, IdMensaje, Cliente, FechaEnvio, EstatusEnvio, ClienteF, Tipo, IntentoRespuesta, IntentoEnvio, Modem, Telefono",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/getRecommender,Intelisis,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, Cliente, Nombre, NIPVenta",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setCodes,Intelisis,CREDICMenudeoParametros,Select,"Descripcion, VALOR",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setCodes,Intelisis,CREDIDCodigoRecomendador,Update,"Cliente, FechaVencimiento, FechaRegistro, Nombre, Telefono, Parentesco, Impreso, UEN, Aplicacion, IdCodigoRecomendador (OUTPUT), FechaCanjeado (filtro WHERE)",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setCodes,Intelisis,CREDIDCodigoRecomendador,Select,"Codigo, IdCodigoRecomendador",,
WebApiMagento.Controllers.RecommenderController,POST /recommender/setCodes,Intelisis,"#TEMPID (tabla temporal de sesión, no persistente)",Insert,"ID (OUTPUT INSERTED.IdCodigoRecomendador)",,
WebApiMagento.Controllers.WholesaleCustomerController,POST /company/negotiable-quote/create,Intelisis,VENTA,Insert,"Empresa, Mov, FechaEmision, UEN, Moneda, Estatus, Situacion, SituacionFecha, SituacionUsuario, Directo, Prioridad, RenglonID, Cliente, EnviarA, Almacen, Agente, ReferenciaOrdenCompra, Condicion, ServicioGarantia, ServicioExpress, ServicioDemerito, ServicioDeducible, GenerarPoliza, ZonaImpuesto, Extra, Sucursal, DesglosarImpuestos, SubModulo, Logico1, Logico2, Logico3, Logico4, Extra1, Extra2, Extra3, SucursalVenta, FormaPagoTipo, SucursalOrigen, SucursalDestino, OrigenSucursal, ArtQ, IDEcommerce, VtaDIMANuevo, POSRedondeoVerif, Reactivado, FacDesgloseIVA, Observaciones",,
WebApiMagento.Controllers.WholesaleCustomerController,POST /company/negotiable-quote/create,Intelisis,VENTAD,Insert,"ID, Renglon, RenglonSub, RenglonID, RenglonTipo, Cantidad, Almacen, EnviarA, Articulo, Precio, PrecioSugerido, Impuesto1, FechaRequerida, Agente, Sucursal, SucursalOrigen, UEN, MonxRedApli, unidad",,
WebApiMagento.Controllers.WholesaleCustomerController,POST /company/negotiable-quote/create,Intelisis,art,Select,"unidad, Articulo",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/obtenerTipoGarantia,Intelisis,VTASCProveedorActivoGarantia,Select,"TipoGarantia, Marca, Telefono, Proveedor, Linea",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/obtenerTipoGarantia,Intelisis,Art,Select,"Articulo, Proveedor, MarcaE, Linea",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/unirCuenta,Intelisis,Cte,Update,"IDMagento (SET), Cliente (WHERE)",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/validarCliente,Intelisis,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno (filtros: Cliente, IDMagento)",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/nombreCliente,Intelisis,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, PersonalTelefonos (no usado) (filtro: Cliente = @ClientIntelisis, TOP 1)",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/nombreCliente,Intelisis,CteTel,Select,"Lada, Telefono (concatenados como Tel) (filtro: Cliente, Tipo='Movil', ValidacionTel=1; orden: Fecha DESC, TOP 1)",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/validarCoberturaPorCP,Intelisis,CodigoPostal,Select,"Estado (DISTINCT, filtrado por Colonia <> 'SIN COLONIA' AND MaviRutaSupervision IS NOT NULL AND MaviRutaSupervision != '') -- caso op=states",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/validarCoberturaPorCP,Intelisis,CodigoPostal,Select,"Delegacion (DISTINCT, filtrado por Colonia, MaviRutaSupervision, Estado=@SearchState) -- caso op=delegations",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/validarCoberturaPorCP,Intelisis,CodigoPostal,Select,"CodigoPostal, Colonia, Delegacion, Delegacion AS Poblacion, Estado (filtrado por Colonia, MaviRutaSupervision, Estado=@SearchState, Delegacion=@SearchDelegation; ORDER BY CodigoPostal) -- caso op=table",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/validarCoberturaPorCP,Intelisis,CodigoPostal,Select,"TOP 1 CodigoPostal, Colonia, Delegacion, Delegacion AS Poblacion, Estado (filtrado por Colonia, MaviRutaSupervision, CodigoPostal=@Search; ORDER BY Estado) -- caso op=coverage (valida cobertura del CP)",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/obtenerCreditos,Intelisis,Venta,Select,"id, MovId, MovID, OrigenID, Mov, UEN, Cliente, FechaEmision, Importe, PrecioTotal, estatus, Estatus, RedimePtos (alias v=Solicitud Credito; a=Analisis Credito; p=Pedido; f=Factura/Credilana/Factura VIU/Prestamo Personal/Venta Perdida)",,
WebApiMagento.Controllers.CustomerServiceController,POST /customerService/obtenerCreditos,Intelisis,Cte,Select,"Cliente, Nombre",,
