BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Accion,Campos Principales,Nombre TablaSAP,API SAP
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,Cxc,Select,"Cliente, ID, Mov, MovID, Vencimiento, Importe, Saldo, Estatus, PadreMAVI",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,MovTipo,Select,"Mov, Modulo, Clave",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,CxcMavi,Select,"ID, DiasVencActMAVI, DiasInacActMAVI",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,TcIRM0906_ConfigDivisionYParam,Select,"DV, DI",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,CxcD,Select,"ID, Aplica, AplicaID, Importe",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,MovCampoExtra,Select,"Modulo, ID, CampoExtra, Valor",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,BonifSIMavi,Select,"IDCxc, MaviUltimoPago",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,Condicion,Select,"Condicion, DAPeriodo, DANumeroDocumentos",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,VentasCanalMAVI,Select,"ID, Categoria",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,Cte_Final,Select,"ClienteF, ApellidoPaterno, Nombre, RFC",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,AuxiliarP,Select,"Mov, MovID, Modulo, Abono",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,Venta,Select,"Mov, MovID, ID, FormaPagoTipo",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,VentaD,Select,"ID, Articulo, Cantidad, Descripcion1",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,Art,Select,"Articulo, Descripcion1",,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,MaviBonificacionMoV,Select,Movimiento,,
Intelisis,,CreditController,GET /credit/getClienteSaldo/{cliente},,Cte,Select,"Cliente, Nombre",,
Intelisis,,CreditController,GET /credit/getCreditAccount/{pAccount},,CREDIHProspectoACliente,Select,"Prospecto, Cliente, Fecha",,
Intelisis,,CreditController,GET /credit/getPlazos,,Condicion,Select,"DiasVencimiento, Condicion",,
Intelisis,,CreditController,GET /credit/getPlazos,,VTASCCondicionesCredVtaLinea,Select,"Condicion, Mensualidades, TiendaVirtual, CondicionPropre",,
Intelisis,,CreditController,POST /credit/codigoPromocion,,VTASCVentaCupon,Select,Codigo,,
Intelisis,,CreditController,POST /credit/codigoPromocion,,Comercializadora.dbo.Personal,Select,"Departamento, Puesto",,
Intelisis,,CreditController,POST /credit/codigoPromocion,,TablaStD,Select,"Valor, TablaSt, Nombre",,
Intelisis,,CreditController,POST /credit/codigoPromocion,,VTASCVentaCupon,Update,"FechaUtilizacion, IdEcommerce, Codigo",,
Intelisis,,CreditController,POST /credit/codigoPromocion,,Agente,Select,"Sucursal, Agente, SucursalEmpresa",,
Intelisis,,CreditController,POST /credit/codigoPromocion,,Sucursal,Select,Sucursal,,
Intelisis,,CreditController,POST /credit/codigoPromocion,,VTASCVentaCupon,Insert,"Codigo, Agente, FechaEnvio, Cliente, Sucursal",,
Intelisis,,CreditController,POST /credit/ExistRFCAndPhoneCte,,Personal,Select,"registro, Estatus",,
Intelisis,,CreditController,POST /credit/ExistRFCAndPhoneCte,,Cte,Select,"Cliente, Curp, Rfc",,
Intelisis,,CreditController,POST /credit/ExistRFCAndPhoneCte,,Venta,Select,"Cliente, ID",,
Intelisis,,CreditController,POST /credit/ExistRFCAndPhoneCte,,MOVBITACORA,Select,"ID, Fecha",,
Intelisis,,CreditController,POST /credit/ExistRFCAndPhoneCte,,CTETEl,Select,"Cliente, Lada, Telefono",,
Intelisis,,CreditController,POST /credit/ExistRFCAndPhoneCte,,CteEnviarA,Select,"Cliente, ID",,
Intelisis,,CreditController,POST /credit/GetUnificationWalletStatus,,CREDIHUnificacionMonedero,Select,"Estatus, FechaUnificacion, IdEcommerce",,
Intelisis,,CreditController,POST /credit/MonederoSaldoCredito,,Cte,Select,"SerieMonedero, SerieMonederoVIU, Cliente",,
Intelisis,,CreditController,POST /credit/MonederoSaldoCredito,,TarjetaSeriemovMavi,Select,"Importe, Serie, Estatus",,
Intelisis,,CreditController,POST /credit/MonederoSaldoCredito,,SaldoP,Select,"Saldo, Cuenta, UEN",,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,Cte,Select,"SerieMonedero, SerieMonederoVIU, Cliente",,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,CteEnviarA,Select,"Cliente, ID, Categoria",,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,Venta,Select,"Saldo, Mov, MovID, Estatus, Situacion",,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,VentaD,Select,ID,,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,CXC,Select,"saldo, estatus, Mov, cliente",,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,cte,Select,"CRMCantidad, cliente",,
Intelisis,,CreditController,POST /credit/SetUnificationWalletData,,CREDIHUnificacionMonedero,Insert,"IdEcommerce, ClienteCredito, ClienteContado, FechaRegistro",,
Intelisis,,CreditController,POST /credit/validateSms,,VTASDCodigoVerificacioneCommerce,Select,"IdCodigoVerificacioneCommerce, Cliente, IdCarrito, Codigo",,
Intelisis,,ApplyPaymentAdvanced,,,CXCCFacturaMultipagoBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago, Origen",,
Intelisis,,ApplyPaymentNeko,,,CXCCFacturaMultipagoBBVA,Select,Referencia,,
Intelisis,,ApplyPaymentNeko,,,CXCCFacturaMultipagoBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago",,
Intelisis,,bbvaKeyNeko,,,master.dbo.dbacseguridad,Select,*,,
Intelisis,,GetSalesChannelsSTP,,,CteEnviarA,Select,"ID, Cliente, UENMAVI",,
Intelisis,,GetSTPAccount,,,CXCCFacturaMultipagoBBVA,Insert,"Cliente, Mov, MovID, Monto, Referencia, Origen",,
Intelisis,,nombreCliente,,,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, PersonalTelefonos, Cliente",,
Intelisis,,nombreCliente,,,CteTel,Select,"Lada, Telefono, Cliente, Tipo, ValidacionTel",,
Intelisis,,obtenerCreditos,,,Venta,Select,"Id, MovId, FechaEmision, Importe, PrecioTotal, Estatus, OrigenID",,
Intelisis,,obtenerCreditos,,,Cte,Select,Nombre,,
Intelisis,,obtenerCreditos,,,VentaD,Select,"Cantidad, Articulo, Precio, PrecioAnterior",,
Intelisis,,obtenerCreditos,,,Art,Select,Descripcion1,,
Intelisis,,obtenerCreditos,,,TarjetaSerieMovMAVI,Select,Importe,,
Intelisis,,ObtenerEstatusEmbarque,,,Venta,Select,"MovID, IDEcommerce, Mov",,
Intelisis,,ObtenerEstatusEmbarque,,,Embarque,Select,ID,,
Intelisis,,ObtenerEstatusEmbarque,,,EmbarqueMov,Select,"AsignadoID, MovID, Mov",,
Intelisis,,obtenerTipoGarantia,,,VTASCProveedorActivoGarantia,Select,"TipoGarantia, Marca, Telefono, Proveedor, Linea",,
Intelisis,,obtenerTipoGarantia,,,Art,Select,"Proveedor, MarcaE, Linea, Articulo",,
Intelisis,,unirCuenta,,,Cte,Update,"IDMagento, Cliente",,
Intelisis,,UpdateStatusPaymentAdvanced,,,CXCCFacturaMultipagoBBVA,Select,"Referencia, EstatusPago",,
Intelisis,,UpdateStatusPaymentAdvanced,,,CXCCFacturaMultipagoBBVA,Update,"EstatusPago, FechaRastreoSTP",,
Intelisis,,UpdateStatusPaymentNeko,,,CXCCFacturaMultipagoBBVA,Update,EstatusPago (→ 'CONFIRMADO' o 'FALLIDO') WHERE Referencia LIKE base%,,
Intelisis,,validarCliente,,,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, Cliente, IDMagento",,
Intelisis,,validarCoberturaPorCP,,,CodigoPostal,Select,"Estado, Delegacion, CodigoPostal, Colonia, MaviRutaSupervision",,
Intelisis,,ValidateSTPAccount,,,Cte,Select,"CuentaCLABESTP, Cliente",,
Intelisis,,ValidateSTPAccount,,,dbo.FnVTASDesEncripta,Select,(Función Escalar SQL),,
Intelisis,,OrdersController,GET /order/creditStatus/{idSolicitud},,Venta,Select,"IDEcommerce, Estatus, Situacion, Mov, ID",,
Intelisis,,OrdersController,GET /order/estimated-delivery/{ecommerceId},,Venta,Select,"MovId, IDEcommerce, Mov",,
Intelisis,,OrdersController,GET /order/estimated-delivery/{ecommerceId},,INVDPaqueteriaGuia,Select,"Paqueteria, NoGuia, NoCodigoRastreo, MovId",,
Intelisis,,OrdersController,GET /order/estimated-delivery/{ecommerceId},,EMBCConfiguracionPaqueteria,Select,"LinkPaqueteria, NombrePaqueteria",,
Intelisis,,OrdersController,POST /order/getIntelisisStatuses,,venta,Select,"idEcommerce, Estatus, OrigenSucursal, Importe",,
Intelisis,,ProspectoController,POST /prospecto/recuperarcuenta,,Cte,Select,"Cliente, PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, FechaNacimiento, RFC",,
Intelisis,,ProspectoController,POST /prospecto/rfc,,RFCAnexoIV,Select,Palabra,,
Intelisis,,ApplyPaymentAdvanced,,,CXCCFacturaMultipagoBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago, Origen",,
Intelisis,,ApplyPaymentNeko,,,CXCCFacturaMultipagoBBVA,Select,Referencia,,
Intelisis,,ApplyPaymentNeko,,,CXCCFacturaMultipagoBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago",,
Intelisis,,bbvaKeyNeko,,,master.dbo.dbacseguridad,Select,*,,
Intelisis,,GetSalesChannelsSTP,,,CteEnviarA,Select,"ID, Cliente, UENMAVI",,
Intelisis,,GetSTPAccount,,,CXCCFacturaMultipagoBBVA,Insert,"Cliente, Mov, MovID, Monto, Referencia, Origen",,
Intelisis,,nombreCliente,,,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, PersonalTelefonos, Cliente",,
Intelisis,,nombreCliente,,,CteTel,Select,"Lada, Telefono, Cliente, Tipo, ValidacionTel",,
Intelisis,,obtenerCreditos,,,Venta,Select,"Id, MovId, FechaEmision, Importe, PrecioTotal, Estatus, OrigenID",,
Intelisis,,obtenerCreditos,,,Cte,Select,Nombre,,
Intelisis,,obtenerCreditos,,,VentaD,Select,"Cantidad, Articulo, Precio, PrecioAnterior",,
Intelisis,,obtenerCreditos,,,Art,Select,Descripcion1,,
Intelisis,,obtenerCreditos,,,TarjetaSerieMovMAVI,Select,Importe,,
Intelisis,,ObtenerEstatusEmbarque,,,Venta,Select,"MovID, IDEcommerce, Mov",,
Intelisis,,ObtenerEstatusEmbarque,,,Embarque,Select,ID,,
Intelisis,,ObtenerEstatusEmbarque,,,EmbarqueMov,Select,"AsignadoID, MovID, Mov",,
Intelisis,,obtenerTipoGarantia,,,VTASCProveedorActivoGarantia,Select,"TipoGarantia, Marca, Telefono, Proveedor, Linea",,
Intelisis,,obtenerTipoGarantia,,,Art,Select,"Proveedor, MarcaE, Linea, Articulo",,
Intelisis,,unirCuenta,,,Cte,Update,"IDMagento, Cliente",,
Intelisis,,UpdateStatusPaymentAdvanced,,,CXCCFacturaMultipagoBBVA,Select,"Referencia, EstatusPago",,
Intelisis,,UpdateStatusPaymentAdvanced,,,CXCCFacturaMultipagoBBVA,Update,"EstatusPago, FechaRastreoSTP",,
Intelisis,,UpdateStatusPaymentNeko,,,CXCCFacturaMultipagoBBVA,Update,EstatusPago (→ 'CONFIRMADO' o 'FALLIDO') WHERE Referencia LIKE base%,,
Intelisis,,validarCliente,,,Cte,Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, Cliente, IDMagento",,
Intelisis,,validarCoberturaPorCP,,,CodigoPostal,Select,"Estado, Delegacion, CodigoPostal, Colonia, MaviRutaSupervision",,
Intelisis,,ValidateSTPAccount,,,Cte,Select,"CuentaCLABESTP, Cliente",,
Intelisis,,ValidateSTPAccount,,,dbo.FnVTASDesEncripta,Select,(Función Escalar SQL),,
