Origin Controller	Original URL	HTTP Method	Source File Path	DMZ File Path	New URL	New Method	Data Origin	ControllerTasks	Mapping&BodyTasks	WrapperTasks	Migration Status	Commit Hash	Migrated Date	Notes
CreditController	credit/getClienteFactura/{cliente}/{factura}	GET	WebApiMagento/Controllers/CreditController.cs:69	WebApiMagento/Controllers/CreditController.cs:44	credit/getClienteFactura/{cliente}/{factura}	POST	SAP (TZ01 ZAPI_TZ01_ZSPLIT_MERC)	100.00%	100.00%	100.00%	Migrated	9ec6be1	2026-07-24	"Bridge at DMZ CreditController.cs:51. Verb changed GET?POST, called as PostSAP(..., ""{}"") with an empty body. See G-04."
CreditController	credit/getClienteSaldo/{cliente}	GET	WebApiMagento/Controllers/CreditController.cs:98	WebApiMagento/Controllers/CreditController.cs:19	partner/client/{clientId}	GET	SAP (BP05 ? Zcrmimporte, ZlimCred)	0.00%	0.00%	100.00%	In Progress	8c5248a		master_migration_summary_unified.md §2.3 reports CheckClientBalance complete on SAP; DMZ still calls curl.Get to LAN.
CreditController	credit/MonederoSaldoCredito	POST	WebApiMagento/Controllers/CreditController.cs:468	WebApiMagento/Controllers/CreditController.cs:226	customer/wallet/details	POST	SAP (SD18)	50.00%	100.00%	100.00%	In Progress	8c5248a		Estimated 9/17/30 days, Dev 2 — critical path. Note the estimate treats this as unbuilt while the summary claims monedero complete; see G-08.
CreditController	credit/getSms	POST	WebApiMagento/Controllers/CreditController.cs:25	WebApiMagento/Controllers/CreditController.cs:68	Unknown	Unknown	ANDROID (TcAAEA00030_EnvioMensajes)				Planed Dev 1	8c5248a		Estimated 1/2/3 days, Dev 1. Local DB stays permanently — not a SAP target.
CreditController	credit/validateSms	POST	WebApiMagento/Controllers/CreditController.cs:47	WebApiMagento/Controllers/CreditController.cs:99	(internal) IsValidated		SAP (BP05) + ANDROID	0.00%	0.00%	50.00%	In Progress	8c5248a		Cross-validation implemented in BusinessPartnerMethods.GetClient + MAVIANDROID01; no DMZ-facing route.
CreditController	credit/codigoPromocion	POST	WebApiMagento/Controllers/CreditController.cs:125	WebApiMagento/Controllers/CreditController.cs:127	Unknown	Unknown	EXT (SuccessFactors / Sigmavi)	0.00%	0.00%	50.00%	Not Migrated	8c5248a		API SAP SUCCESSFACTOR + BP05 + SIGMAVI
CreditController	credit/codigoRecomendado	POST	WebApiMagento/Controllers/CreditController.cs:237	WebApiMagento/Controllers/CreditController.cs:185	Unknown	GET	INTELISIS (BP05)	0.00%	0.00%	100.00%	In Progress	8c5248a		Estimated 1/2/3 days, Dev 1.
CreditController	credit/ExistRFCAndPhoneCte	POST	WebApiMagento/Controllers/CreditController.cs:375	WebApiMagento/Controllers/CreditController.cs:382	(building block) partner/client/filter/{sapFilter}	GET	SAP (BP05)	0.00%	100.00%	100.00%	Planed Dev 1	8c5248a		Estimated 1/2/3 days, Dev 1. A generic BP filter endpoint exists but no dedicated route.
CreditController	credit/getPlazos	GET	WebApiMagento/Controllers/CreditController.cs:580	WebApiMagento/Controllers/CreditController.cs:432	Unknown	Unknown	SAP (SD40 ) + SIGMAVI (CondicionesCredVtaLinea)	0.00%	0.00%	0.00%	To Plan	8c5248a		Wrapper SD40 + Sigmavi logic
CreditController	credit/getCreditAccount/{pAccount}	GET	WebApiMagento/Controllers/CreditController.cs:438	WebApiMagento/Controllers/CreditController.cs:273	partner/client/filter/{sapFilter}	GET	INTELISIS	0.00%	0.00%	0.00%	To Plan	8c5248a		BP05 o zapi_bp05ma
CreditController	credit/GetUnificationWalletStatus	POST	WebApiMagento/Controllers/CreditController.cs:489	WebApiMagento/Controllers/CreditController.cs:240	Unknown	Unknown	INTELISIS	0.00%	0.00%	0.00%	Not Migrated	8c5248a		Account-unification family; not enumerated in the gap estimates.
CreditController	credit/CheckAccountsPreUnification	POST	WebApiMagento/Controllers/CreditController.cs:506	WebApiMagento/Controllers/CreditController.cs:248	Unknown	Unknown	INTELISIS + (BP05)	0.00%	0.00%	0.00%	Not Migrated	8c5248a		cteEnciarA (AccountType method)
