BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Accion,Campos Principales,Nombre TablaSAP,API SAP
Intelisis,MAVICUBOS.grupomavi.com,OrdersController,GET /order/estimated-delivery/{ecommerceId},,Venta,Select,"MovId, IDEcommerce, Mov",,
Intelisis,MAVICUBOS.grupomavi.com,OrdersController,GET /order/estimated-delivery/{ecommerceId},,INVDPaqueteriaGuia,Select,"Paqueteria, NoGuia, NoCodigoRastreo, MovId",,
Intelisis,MAVICUBOS.grupomavi.com,OrdersController,GET /order/estimated-delivery/{ecommerceId},,EMBCConfiguracionPaqueteria,Select,"LinkPaqueteria, NombrePaqueteria",,
Intelisis,MAVICUBOS.grupomavi.com,OrdersController,POST /order/getIntelisisStatuses,,venta,Select,"idEcommerce, Estatus, OrigenSucursal, Importe",,
Intelisis,MAVICUBOS.grupomavi.com,OrdersController,GET /order/creditStatus/{idSolicitud},,Venta,Select,"IDEcommerce, Estatus, Situacion, Mov, ID",,
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/getPosCancellations","OrderMethods.GetPosCancellations","Venta","Select","N/A (Inline SQL) -- IDEcommerce (proyectado; filtros IS NOT NULL / <> '' / <> '0'), Estatus (= 'CANCELADO' hardcodeado), Mov (= 'Pedido' hardcodeado -- excluye 'Pedido VIU'), FechaCancelacion y UltimoCambio (COALESCE >= @Since, ORDER BY ASC, CONVERT estilo 120) -- WITH(NOLOCK), TOP (@Limit) parametrizado, CommandTimeout=60","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/GetPickUpCode","CodigoRecogerSucursal.GetPickUpCode","TrWDM0285_CteRecoge","Select","N/A (Inline SQL) -- idEcommerce (= @idEcommerce, parametrizado VarChar), ClaveVenta (proyectado como PickupCode) -- WITH(NOLOCK), SIN TOP y SIN ORDER BY sobre tabla con duplicados posibles, sin CommandTimeout explicito (30s default) -- SIN EQUIVALENTE SAP IDENTIFICADO","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","OrderMethods.obtenerIdVenta","Venta","Select","N/A (Inline SQL) -- id (proyectado), idecommerce (= @IdEcommerce parametrizado) -- guarda 'PedidoExistente'; WITH(NOLOCK); si falla devuelve 0 y la guarda se desactiva; tambien se desactiva si ToArray puso forzarOrder='1' por precioEspecial","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","OrderMethods.detallePedido","eCommerceDetPedidos","Mixta","SP: SpVTASeCommerceDetPedidos -- 'Limpiar' (DELETE WHERE IdPedido = @IdMag AND RefPedidoIntelisis IS NULL) + N x 'Insertar' (UEN, IdPedido, Articulo, Precio, PrecioEspecial, Descuento, Cantidad, idOrden, RecogerEnSucursal) con los valores REALES del pedido -- CommandTimeout=60000","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","SpVTASeCommerceDetPedidos","Art","Select","SP: SpVTASeCommerceDetPedidos -- Familia (WHERE Articulo = @Art) -- decide la logica regional de TELEFONIA -- WITH(NOLOCK)","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","SpVTASeCommerceDetPedidos","VTASCRegionSku","Select","SP: SpVTASeCommerceDetPedidos -- SkuRegion5, SkuRegion6 -- sustitucion de SKU por region -- WITH(NOLOCK)","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","SpVTASeCommerceDetPedidos","VTASCCodigoPostalRegionCelular","Select","SP: SpVTASeCommerceDetPedidos -- CodigoPostal (= @Cp real del pedido), Estatus (= 1) -- WITH(NOLOCK)","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","SpVTASeCommerceDetPedidos","eCommerceExist","Select","SP: SpVTASeCommerceDetPedidos -- articulo, existencia -- validacion previa a sustituir SKU -- WITH(NOLOCK)","",""
"IntelisisTmp","MAVICUBOS.grupomavi.com","OrdersController","POST /order/validateCredit","SpVTASeCommerceDetPedidos","VTASDEcommerceExportaArtExistencia","Select","SP: SpVTASeCommerceDetPedidos -- Articulo, TotalArticulos -- LEFT JOIN de la validacion de existencia -- WITH(NOLOCK)","",""
"SQLite (data.db)","C:\inetpub\wwwroot\api","OrdersController","POST /order/validateCredit","OrderMethods.SaveGuide","servicio_guias","Insert","N/A (Inline SQL SQLite) -- idecommerce, fullname (INSERT OR IGNORE) -- nombre compuesto APELLIDOP APELLIDOM NOMBRE en mayusculas -- persistencia local del servidor, fuera de SAP por definicion","",""
