BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Stored Procedures,Accion,Campos Principales,Nombre TablaSAP,API SAP
Archivo (no BD),C:\inetpub\wwwroot\log,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},OrderMethods.ReSetPedido,setOrder.log,N/A (File.ReadAllLines),Select,"FUENTE DE DATOS TRANSACCIONAL EN UN ARCHIVO DE LOG: se carga el archivo completo en memoria y se busca por subcadena (Contains(incrementId) && Contains('] INFO [')); FirstOrDefault toma la coincidencia MAS ANTIGUA; el JSON se corta por posicion (IndexOf('{')); sin rotacion de log; DEJA DE FUNCIONAR AL MIGRAR A SAP",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},OrderMethods.obtenerIdVenta,Venta,N/A (Inline SQL),Select,"id (proyectado), idecommerce (= @IdEcommerce parametrizado) -- WITH(NOLOCK), sin TOP ni ORDER BY (se queda con la ultima fila del while); si falla devuelve 0 = 'no existe' y la guarda anti-duplicado se rinde",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},OrderMethods.esCancelado,Venta,N/A (Inline SQL),Select,"id (proyectado), idecommerce (= @IdEcommerce), Estatus (= 'CANCELADO' hardcodeado) -- WITH(NOLOCK); si falla devuelve 0 y el pedido se recrea igual",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},OrderMethods.SetPedido -> detallePedido,eCommerceDetPedidos,SpVTASeCommerceDetPedidos,Mixta,"'Limpiar' (DELETE WHERE IdPedido = @IdMag AND RefPedidoIntelisis IS NULL) + N x 'Insertar' (UEN, IdPedido, Articulo, Precio, PrecioEspecial, Descuento, Cantidad, idOrden, RecogerEnSucursal) -- aqui SI con los datos reales del pedido, a diferencia de getOrderId",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},SpVTASeCommerceDetPedidos,Art,SpVTASeCommerceDetPedidos,Select,"Familia (WHERE Articulo = @Art) -- decide la logica regional de TELEFONIA -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},SpVTASeCommerceDetPedidos,VTASCRegionSku,SpVTASeCommerceDetPedidos,Select,"SkuRegion5, SkuRegion6 -- sustitucion de SKU por region -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},SpVTASeCommerceDetPedidos,VTASCCodigoPostalRegionCelular,SpVTASeCommerceDetPedidos,Select,"CodigoPostal (= @Cp del pedido real), Estatus (= 1) -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},SpVTASeCommerceDetPedidos,eCommerceExist,SpVTASeCommerceDetPedidos,Select,"articulo, existencia -- validacion previa a sustituir SKU -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},SpVTASeCommerceDetPedidos,VTASDEcommerceExportaArtExistencia,SpVTASeCommerceDetPedidos,Select,"Articulo, TotalArticulos -- LEFT JOIN de la validacion de existencia -- WITH(NOLOCK)",,
SQLite (data.db),C:\inetpub\wwwroot\api,OrdersController,GET /order/getOrderInfoAndSet/{incrementId},OrderMethods.SaveGuide,servicio_guias,N/A (Inline SQL SQLite),Insert,"idecommerce, fullname (INSERT OR IGNORE) -- persistencia local del servidor, fuera de SAP por definicion",,
