BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Stored Procedures,Accion,Campos Principales,Nombre TablaSAP,API SAP
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,OrderMethods.obtenerIdVenta,Venta,N/A (Inline SQL),Select,"id (proyectado), idecommerce (= @IdEcommerce parametrizado) -- guarda 'PedidoExistente'; WITH(NOLOCK); si falla devuelve 0 y la guarda se desactiva; tambien se desactiva si ToArray puso forzarOrder='1' por precioEspecial",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,OrderMethods.detallePedido,eCommerceDetPedidos,SpVTASeCommerceDetPedidos,Mixta,"'Limpiar' (DELETE WHERE IdPedido = @IdMag AND RefPedidoIntelisis IS NULL) + N x 'Insertar' (UEN, IdPedido, Articulo, Precio, PrecioEspecial, Descuento, Cantidad, idOrden, RecogerEnSucursal) con los valores REALES del pedido -- CommandTimeout=60000",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,SpVTASeCommerceDetPedidos,Art,SpVTASeCommerceDetPedidos,Select,"Familia (WHERE Articulo = @Art) -- decide la logica regional de TELEFONIA -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,SpVTASeCommerceDetPedidos,VTASCRegionSku,SpVTASeCommerceDetPedidos,Select,"SkuRegion5, SkuRegion6 -- sustitucion de SKU por region -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,SpVTASeCommerceDetPedidos,VTASCCodigoPostalRegionCelular,SpVTASeCommerceDetPedidos,Select,"CodigoPostal (= @Cp real del pedido), Estatus (= 1) -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,SpVTASeCommerceDetPedidos,eCommerceExist,SpVTASeCommerceDetPedidos,Select,"articulo, existencia -- validacion previa a sustituir SKU -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,SpVTASeCommerceDetPedidos,VTASDEcommerceExportaArtExistencia,SpVTASeCommerceDetPedidos,Select,"Articulo, TotalArticulos -- LEFT JOIN de la validacion de existencia -- WITH(NOLOCK)",,
SQLite (data.db),C:\inetpub\wwwroot\api,OrdersController,POST /order/validateCredit,OrderMethods.SaveGuide,servicio_guias,N/A (Inline SQL SQLite),Insert,"idecommerce, fullname (INSERT OR IGNORE) -- nombre compuesto APELLIDOP APELLIDOM NOMBRE en mayusculas -- persistencia local del servidor, fuera de SAP por definicion",,
ServicioAndroid,mavicbosandroid.grupomavi.com,OrdersController,POST /order/validateCredit,OrderMethods.ObtenerNumeroTablaSms,TcAAEA00030_EnvioMensajes,N/A (Inline SQL CONCATENADO - INYECCION SQL),Select,"TOP 1 Telefono WHERE IdRegistro IN (subconsulta a VTASDCodigoVerificacioneCommerce) ORDER BY Id DESC -- cliente concatenado via String.Format: INYECCION SQL (OrderMethods.cs:807) -- WITH(NOLOCK), CommandTimeout=9999999; devuelve '' ante excepcion",,
ServicioAndroid,mavicbosandroid.grupomavi.com,OrdersController,POST /order/validateCredit,OrderMethods.ObtenerNumeroTablaSms,VTASDCodigoVerificacioneCommerce,N/A (Inline SQL CONCATENADO - INYECCION SQL),Select,"IdCodigoVerificacioneCommerce, Cliente (= '{0}' concatenado) -- subconsulta del SMS de verificacion -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,OrderMethods.IsValidated,CteTel,N/A (Inline SQL CONCATENADO - INYECCION SQL),Select,"TOP 1 CONCAT(Lada, Telefono), Cliente (= '{0}' concatenado: INYECCION SQL, OrderMethods.cs:774), Tipo (= 'Movil'), ValidacionTel (= 1), Fecha (ORDER BY DESC) -- WITH(NOLOCK), CommandTimeout=99999; devuelve '' ante excepcion, lo que hace isValidated=true por coincidencia de vacios",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.IsInTableStd,tablastd,N/A (Inline SQL CONCATENADO - INYECCION SQL),Select,"Nombre, TablaSt (= 'ORIGEN VALIDACION NUMERO CTE') JOIN ctetel por AppOrigen; Cliente concatenado via String.Format: INYECCION SQL (CreditMethods.cs:1975) -- WITH(NOLOCK), CommandTimeout=99999",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.IsInTableStd,ctetel,N/A (Inline SQL CONCATENADO - INYECCION SQL),Select,"AppOrigen (JOIN con tablastd.Nombre), Cliente, validacionTel (= 1) -- WITH(NOLOCK)",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.checkCliente,(datos de credito del cliente),SpCREDIDatosSolicitudCreditoArt,Select,"@Op = 'CheckCliente', @Val = cuenta, @retValue (ReturnValue Int; 1 = existe) -- CommandTimeout=60; catch VACIO: un fallo devuelve false igual que un rechazo legitimo",,
ServicioAndroid,mavicbosandroid.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.checkSaldo,(saldo de credito del cliente),SpCREDIDatosSolicitudCreditoArt,Select,"@Op = 'GetSaldo', @Val = cuenta, @retValue (ReturnValue Decimal) -- MISMO SP QUE checkCliente PERO CONTRA OTRA BASE (verificar); ExecuteScalar se llama DOS VECES (el SP se ejecuta dos veces); catch VACIO",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.getClientInfo,(datos personales del cliente),SpCREDIDatosSolicitudCreditoArt,Select,"@Op = 'GetInfo', @Val = cuenta -- devuelve por indice: [0] cliente, [1] apellido paterno, [2] apellido materno, [3] nombre, [4] fecha nacimiento, [5] RFC, [6] sexo, [10] entre calles, [16] estado civil",,
ServicioAndroid,mavicbosandroid.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.ProductosCreditoWeb_SaveData,(solicitud de credito web),SP_CREDITO_WEB_DATOS,Insert,"36 parametros: @Id=0, @Op='Insert', datos personales (apellidos, nombre, fecha nacimiento, RFC, sexo, estado civil), domicilio (direccion, exterior, interior, entre_calles, CP, delegacion y poblacion con el MISMO valor, estado, colonia), @articulo='' (discriminante frente a CrediLana), @uen, @condicion, @cliente, @utmSource, @sucursal (504/505 hardcodeado), @origen, @idMagento, @MetodoEnvio, lada/telefono particular y celular (DUPLICADOS), @sucursalDestino, @RedimirMonedero, @ValidacionTelefono, @OrigenIdMagento, @LadaValidar, @TelefonoValidar. Devuelve IdSolicitud leido por indice dr[0]. CUERPO DEL SP NO ANALIZADO POR FALTA DE FUENTE (Regla #5) -- cruza a Intelisis por linked server ERPMAVI segun _EXCLUIDOS_Intelisis.md -- ver _SPS_FALTANTES.txt",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.CreditoWeb_InsertArticulo,(articulos de la solicitud de credito),SpVTASInsertArtSolCreditoLinea,Insert,"@IdCredito (IdSolicitud), @Cantidad, @Articulo (SKU), @Condicion, @Orden (secuencial), @SeguCost (importe si el SKU es SEGU00001, si no 0.00), @Cp -- una ejecucion por articulo via SqlDataAdapter.Fill; el filtro prevArt solo compara con el articulo ANTERIOR (SKUs repetidos no adyacentes se duplican); sin using en SqlCommand ni SqlConnection",,
IntelisisTmp,MAVICUBOS.grupomavi.com,OrdersController,POST /order/validateCredit,CreditMethods.CodigoPromocion,(cupones de venta),SpVTASVentaCupon,Mixta,"@opcion = 'Elimina', @Codigo = codigo_promotor, @IdEcommerce = incrementId -- solo si infoCliente trae codigo_promotor -- CommandTimeout=120",,
