Proyecto,Tipo,Archivo_o_Controller,Metodo_o_Ruta,Verbo,Linea,Destino_Real,Categoria_Destino,Estado
LAN,Endpoint,StatusController,status/getStatus,GET,12,Ping ICMP a 172.16.202.2 sin conexion SQL,Sin BD,Activo
LAN,Endpoint,CustomersController,customer/getCuenta,POST,91,Curl hacia API DMZ,Magento REST,Activo
LAN,Endpoint,CustomersController,customer/setCuenta,POST,100,Curl hacia API DMZ,Magento REST,Activo
LAN,Endpoint,CustomersController,customer/cashCustomerReport,POST,109,Filesystem + share SMB 172.16.200.2,Filesystem/SMB,Activo
LAN,Endpoint,OrdersController,order/getGuide,POST,165,SQLite servicio_guias,SQLite,Activo
LAN,Endpoint,ProductsController,product/updateProductJsonOnly,POST,120,SQLite + Curl a DMZ,SQLite,Activo
LAN,Endpoint,ProductsController,product/updateConfigurableProduct,POST,145,SQLite + Curl a DMZ,SQLite,Activo
LAN,Endpoint,ProductsController,product/obtenerImagen,POST,216,Impersonacion Windows + copia SMB,Filesystem/SMB,Activo
LAN,Endpoint,CreditController,credit/validateSms,POST,48,SP SPVTASCodigoSeguridadeCommerce -> ERPMAVI.IntelisisTMP.dbo.Cte + CteTel,Intelisis via linked server,RECLASIFICADO
LAN,Endpoint,CreditController,credit/SendSmsNewNumber,POST,549,ServicioAndroid TcAAEA00030_EnvioMensajes,ServicioAndroid,Activo
LAN,Endpoint,CreditController,credit/GetCreditAmounts,POST,315,SQLite mavi_credilana_info,SQLite,Activo
LAN,Endpoint,CreditController,credit/SaveImagesProductosMx,POST,272,Filesystem + AdminDoc,AdminDoc,Activo
LAN,Endpoint,CreditController,credit/guardardocumento,POST,592,AdminDoc MAVI_DOC_CTE,AdminDoc,Activo
LAN,Endpoint,CreditController,credit/ExistRFCAndPhoneCte,POST,376,Ninguno - validacion neutralizada por return incondicional,Ninguno,Neutralizado
LAN,Endpoint,CreditController,credit/CreditoWeb_FormDatos,POST,145,SQLite segun op - el fallback si va a Intelisis,SQLite,Parcial
LAN,Endpoint,CreditController,credit/CreditoWeb_Informacion,POST,289,SQLite segun op - el fallback si va a Intelisis,SQLite,Parcial
LAN,Endpoint,CustomerServiceController,customerService/obtenerQuejas,POST,87,ServicioAndroid actes_catalogo_queja,ServicioAndroid,Activo
LAN,Endpoint,CustomerServiceController,customerService/bitacoraAtencionClientes,POST,69,SP SP_ACTES_REGISTRO -> ERPMAVI.IntelisisTMP.dbo.Personal + RM1138PendientesxValidar,Intelisis via linked server,RECLASIFICADO
