BaseDeDatos,Servidor,Controlador,Endpoint,Metodo,NombreTabla,Stored Procedures,Accion,Campos Principales,Nombre TablaSAP,API SAP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getCreditAccount/{pAccount},CreditMethods.GetCreditAccount,CREDIHProspectoACliente,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Prospecto, Cliente, Fecha",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getPlazos,CreditMethods.GetPlazos,Condicion,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"DiasVencimiento, Condicion",Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,GET /credit/getPlazos,CreditMethods.GetPlazos,VTASCCondicionesCredVtaLinea,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Condicion, Mensualidades, TiendaVirtual, CondicionPropre",Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,VTASCVentaCupon,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,Codigo,Por Definir,SAP Promotions
Comercializadora,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,Comercializadora.dbo.Personal,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Departamento, Puesto",Por Definir,SAP Promotions
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,TablaStD,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Valor, TablaSt, Nombre",Por Definir,SAP Promotions
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,VTASCVentaCupon,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Update,"FechaUtilizacion, IdEcommerce, Codigo",Por Definir,SAP Promotions
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,Agente,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Sucursal, Agente, SucursalEmpresa",Por Definir,SAP Promotions
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,Sucursal,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,Sucursal,Por Definir,SAP Promotions
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/codigoPromocion,CreditMethods.CodigoPromocion,VTASCVentaCupon,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Insert,"Codigo, Agente, FechaEnvio, Cliente, Sucursal",Por Definir,SAP Promotions
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,CreditMethods.ExistRFCAndPhoneCte,Personal,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"registro, Estatus",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,CreditMethods.ExistRFCAndPhoneCte,Cte,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Cliente, Curp, Rfc",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,CreditMethods.ExistRFCAndPhoneCte,Venta,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Cliente, ID",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,CreditMethods.ExistRFCAndPhoneCte,MOVBITACORA,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"ID, Fecha",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,CreditMethods.ExistRFCAndPhoneCte,CTETEl,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Cliente, Lada, Telefono",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/ExistRFCAndPhoneCte,CreditMethods.ExistRFCAndPhoneCte,CteEnviarA,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Cliente, ID",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/GetUnificationWalletStatus,CreditMethods.SelectUnificationWalletStatus,CREDIHUnificacionMonedero,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Estatus, FechaUnificacion, IdEcommerce",Por Definir,OData Monedero
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,Cte,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"SerieMonedero, SerieMonederoVIU, Cliente",Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,CteEnviarA,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Cliente, ID, Categoria",Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,Venta,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"Saldo, Mov, MovID, Estatus, Situacion",Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,VentaD,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,ID,Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,CXC,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"saldo, estatus, Mov, cliente",Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,cte,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"CRMCantidad, cliente",Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/SetUnificationWalletData,CreditMethods.InsertUnificationWallet,CREDIHUnificacionMonedero,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Insert,"IdEcommerce, ClienteCredito, ClienteContado, FechaRegistro",Por Definir,SAP BP
IntelisisTmp,MAVICUBOS.grupomavi.com,CreditController,POST /credit/validateSms,CreditMethods.ValidateSms,VTASDCodigoVerificacioneCommerce,SpVTASVentaCupon; SpCREDIDatosSolicitudCreditoArt,Select,"IdCodigoVerificacioneCommerce, Cliente, IdCarrito, Codigo",Por Definir,MAVICBOSANDROID
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ApplyPaymentAdvanced,CustomerServiceMethods.ApplyPaymentAdvanced,CXCCFacturaMultipagoBBVA,SpCXCCalcAbonoCobXPol; SPCXCCobrosClientesBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago, Origen",Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ApplyPaymentNeko,CustomerServiceMethods.ApplyPaymentNeko,CXCCFacturaMultipagoBBVA,SpCXCCalcAbonoCobXPol; SPCXCCobrosClientesBBVA,Select,Referencia,Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ApplyPaymentNeko,CustomerServiceMethods.ApplyPaymentNeko,CXCCFacturaMultipagoBBVA,SpCXCCalcAbonoCobXPol; SPCXCCobrosClientesBBVA,Insert,"Cliente, ClienteEnviarA, Mov, MovID, Monto, Referencia, EstatusPago, FechaPago",Por Definir,SAP FI
master,MAVICUBOS.grupomavi.com,CustomerServiceController,GET /customerService/bbvaKeyNeko,CustomerServiceMethods.GetBBVAKeyNeko,master.dbo.dbacseguridad,N/A (Inline SQL),Select,*,Pendiente SAP,Pendiente SAP
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GetSalesChannelsSTP,CustomerServiceMethods.GetSalesChannelsSTP,CteEnviarA,N/A (Inline SQL),Select,"ID, Cliente, UENMAVI",Pendiente SAP,Pendiente SAP
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GetSTPAccount,CustomerServiceMethods.GetSTPAccount,CXCCFacturaMultipagoBBVA,N/A (Inline SQL),Insert,"Cliente, Mov, MovID, Monto, Referencia, Origen",Por Definir,SAP FI CLABE
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/nombreCliente,CustomerServiceMethods.nombreCliente,Cte,N/A (Inline SQL),Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, PersonalTelefonos, Cliente",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/nombreCliente,CustomerServiceMethods.nombreCliente,CteTel,N/A (Inline SQL),Select,"Lada, Telefono, Cliente, Tipo, ValidacionTel",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerCreditos,CustomerServiceMethods.obtenerCreditos,Venta,N/A (Inline SQL),Select,"Id, MovId, FechaEmision, Importe, PrecioTotal, Estatus, OrigenID",Por Definir,SAP FI-CA
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerCreditos,CustomerServiceMethods.obtenerCreditos,Cte,N/A (Inline SQL),Select,Nombre,Por Definir,SAP FI-CA
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerCreditos,CustomerServiceMethods.obtenerCreditos,VentaD,N/A (Inline SQL),Select,"Cantidad, Articulo, Precio, PrecioAnterior",Por Definir,SAP FI-CA
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerCreditos,CustomerServiceMethods.obtenerCreditos,Art,N/A (Inline SQL),Select,Descripcion1,Por Definir,SAP FI-CA
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerCreditos,CustomerServiceMethods.obtenerCreditos,TarjetaSerieMovMAVI,N/A (Inline SQL),Select,Importe,Por Definir,SAP FI-CA
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ObtenerEstatusEmbarque,CustomerServiceMethods.ObtenerEstatusEmbarque,Venta,N/A (Inline SQL),Select,"MovID, IDEcommerce, Mov",Por Definir,SAP Entregas
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ObtenerEstatusEmbarque,CustomerServiceMethods.ObtenerEstatusEmbarque,Embarque,N/A (Inline SQL),Select,ID,Por Definir,SAP Entregas
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/ObtenerEstatusEmbarque,CustomerServiceMethods.ObtenerEstatusEmbarque,EmbarqueMov,N/A (Inline SQL),Select,"AsignadoID, MovID, Mov",Por Definir,SAP Entregas
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerTipoGarantia,CustomerServiceMethods.obtenerTipoGarantia,VTASCProveedorActivoGarantia,N/A (Inline SQL),Select,"TipoGarantia, Marca, Telefono, Proveedor, Linea",Por Definir,SAP Equipos
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/obtenerTipoGarantia,CustomerServiceMethods.obtenerTipoGarantia,Art,N/A (Inline SQL),Select,"Proveedor, MarcaE, Linea, Articulo",Por Definir,SAP Equipos
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/unirCuenta,CustomerServiceMethods.unirCuenta,Cte,N/A (Inline SQL),Update,"IDMagento, Cliente",Por Definir,SAP BP Merge
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/UpdateStatusPaymentAdvanced,CustomerServiceMethods.UpdateStatusPaymentAdvanced,CXCCFacturaMultipagoBBVA,N/A (Inline SQL),Select,"Referencia, EstatusPago",Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/UpdateStatusPaymentAdvanced,CustomerServiceMethods.UpdateStatusPaymentAdvanced,CXCCFacturaMultipagoBBVA,N/A (Inline SQL),Update,"EstatusPago, FechaRastreoSTP",Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/UpdateStatusPaymentNeko,CustomerServiceMethods.UpdateStatusPaymentNeko,CXCCFacturaMultipagoBBVA,N/A (Inline SQL),Update,EstatusPago (→ 'CONFIRMADO' o 'FALLIDO') WHERE Referencia LIKE base%,Por Definir,SAP FI
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/validarCliente,CustomerServiceMethods.validarCliente,Cte,N/A (Inline SQL),Select,"PersonalNombres, PersonalApellidoPaterno, PersonalApellidoMaterno, Cliente, IDMagento",Por Definir,SAP BP05
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,POST /customerService/validarCoberturaPorCP,CustomerServiceMethods.ValidarCoberturaPorCP,CodigoPostal,N/A (Inline SQL),Select,"Estado, Delegacion, CodigoPostal, Colonia, MaviRutaSupervision",Por Definir,SAP Transporte
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GET /customerService/ValidateSTPAccount,CustomerServiceMethods.ValidateSTPAccount,Cte,N/A (Inline SQL),Select,"CuentaCLABESTP, Cliente",Pendiente SAP,Pendiente SAP
IntelisisTmp,MAVICUBOS.grupomavi.com,CustomerServiceController,GET /customerService/ValidateSTPAccount,CustomerServiceMethods.ValidateSTPAccount,dbo.FnVTASDesEncripta,N/A (Inline SQL),Select,(Función Escalar SQL),Pendiente SAP,Pendiente SAP
