Controlador,Endpoint,MetodoHTTP,MetodoNegocio,Destinos,EsIntelisis,EnAlcance,Motivo,Mapeado,Evidencia
CreditController,/credit/getSms,POST,CreditMethods.ProductosCredito_Nip,"ServicioAndroid, IntelisisTmp",Mixto,Si,"SMS en Android + validaciones en Intelisis",No,CreditMethods.cs:2134
CreditController,/credit/validateSms,POST,CreditMethods.ProductosCredito_Clave,"ServicioAndroid, IntelisisTmp (linked server)",Mixto,Si,"SP SPVTASCodigoSeguridadeCommerce hace UPDATE a ERPMAVI.INTELISISTMP.dbo.Cte",Si,CreditMethods.cs:57
CreditController,/credit/getClienteFactura/{cliente}/{factura},GET,FacturaMethods.getClienteFacturas,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,FacturaMethods.cs:16
CreditController,/credit/getClienteSaldo/{cliente},GET,FacturaMethods.getClienteSaldo,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,FacturaMethods.cs:16
CreditController,/credit/codigoPromocion,POST,CreditMethods.CodigoPromocion,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CreditMethods.cs:397
CreditController,/credit/CreditoWeb_FormDatos,POST,CreditMethods.CreditoWeb_FormDatos,"SQLite mavi_credilana_info, IntelisisTmp",Mixto,Si,"6 op resuelven en SQLite; el resto cae a SP_CREDITO_WEB_VALORES_FORM",No,CreditMethods.cs:681
CreditController,/credit/CreditoWeb_SaveFirstData,POST,CreditMethods.CreditoWeb_SaveFirstData,"ServicioAndroid, IntelisisTmp (linked server)",Mixto,Si,"SP SpCREDISolicitudWebPrimerGuardado referencia Intelisis",No,CreditMethods.cs:510
CreditController,/credit/CreditoWeb_SaveData_Articulos,POST,CreditMethods.CreditoWeb_SaveData_Articulos,"ServicioAndroid, IntelisisTmp",Mixto,Si,"Delega en Credit.Methods.CreditoWeb_SaveData + cte_prospecto",No,CreditMethods.cs:473
CreditController,/credit/codigoRecomendado,POST,CreditMethods.codigoRecomendado,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1114
CreditController,/credit/codigoRecomendadoWithUen,POST,CreditMethods.CodigoRecomendadoWithUen,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1159
CreditController,/credit/SaveImagesProductosMx,POST,CreditMethods.SaveImagesProductosMx,"AdminDoc, Filesystem",No,Si,,No,CreditMethods.cs:998
CreditController,/credit/CreditoWeb_Informacion,POST,CreditMethods.CreditoWeb_Informacion,"SQLite mavi_credilana_info, IntelisisTmp",Mixto,Si,"3 op en SQLite; 6 op caen a SPCREDICredilana",No,CreditMethods.cs:1204
CreditController,/credit/GetCreditAmounts,POST,CredyPrestamoMethods.GetCredilanaInfo,SQLite mavi_credilana_info,No,Si,,No,CredyPrestamoMethods.cs:834
CreditController,/credit/CreditoWeb_Solicitud,POST,CreditMethods.CreditoWeb_Solicitud,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1293
CreditController,/credit/CreditoWeb_SolicitudPrimerGuardado,POST,CreditMethods.CreditoWeb_SolicitudPrimerGuardado,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1346
CreditController,/credit/Validar_Lada,POST,CreditMethods.IsLadaValid,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1397
CreditController,/credit/ExistRFCAndPhoneCte,POST,CreditMethods.ExistRFCAndPhoneCte,N/A (sin persistencia),No,Si,"Neutralizado: return incondicional en :1426 y :1496",Si,CreditMethods.cs:1426
CreditController,/credit/CreditoWeb_Seguro,POST,CredyPrestamoMethods.CreditoWeb_Seguro,"IntelisisTmp, ServicioAndroid, API Liberador",Mixto,Si,"SPCREDICredilanaSeguroDeVida + ProcesoAsynCredilanaCte",No,CredyPrestamoMethods.cs:231
CreditController,/credit/CreditoWeb_SaveData,POST,CredyPrestamoMethods.CreditoWeb_SaveData,"ServicioAndroid, IntelisisTmp (linked server)",Mixto,Si,"SP SP_CREDITO_WEB_DATOS referencia ERPMAVI.IntelisisTMP",No,CredyPrestamoMethods.cs:37
CreditController,/credit/SaveHaztenTransaction,POST,CreditMethods.SaveHaztenTransaction,"SIGMAVI, ServicioAndroid, IntelisisTmp",Mixto,Si,"SaveCoordsInNewTable inserta en RM0855ACoordenadasProspecto",No,CreditMethods.cs:2443
CreditController,/credit/getCreditAccount/{pAccount},GET,CreditMethods.GetCreditAccount,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CreditMethods.cs:1558
CreditController,/credit/SaveCredilanaInfo,POST,CredyPrestamoMethods.LoadCredilanaInfo,"SQLite mavi_credilana_info, IntelisisTmp",Mixto,Si,"Escribe SQLite pero lee FnVTASListaCredilanas de Intelisis",No,CredyPrestamoMethods.cs:302
CreditController,/credit/MonederoSaldoCredito,POST,CreditMethods.MonederoSaldoCredito,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1601
CreditController,/credit/GetUnificationWalletStatus,POST,CreditMethods.SelectUnificationWalletStatus,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CreditMethods.cs:1646
CreditController,/credit/CheckAccountsPreUnification,POST,CreditMethods.CheckAccountsPreUnification,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1721
CreditController,/credit/SetUnificationWalletData,POST,CreditMethods.InsertUnificationWallet,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CreditMethods.cs:1694
CreditController,/credit/GetPhoneValidatedClientSecretName,POST,CreditMethods.GetPhoneValidatedClientSecretName,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CreditMethods.cs:1816
CreditController,/credit/SendSmsNewNumber,POST,CreditMethods.SendSmsNewNumber,ServicioAndroid,No,Si,,No,CreditMethods.cs:1998
CreditController,/credit/SolicitudMercancia,POST,CreditMethods.SolicitudMercancia,"ServicioAndroid, IntelisisTmp (linked server inline)",Mixto,Si,"SQL inline lee ERPMAVI.IntelisisTMP.dbo.Cte",No,CreditMethods.cs:656
CreditController,/credit/getPlazos,GET,CreditMethods.GetPlazos,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CreditMethods.cs:2553
CreditController,/credit/guardardocumento,POST,CreditMethods.GuardarDocumento,AdminDoc,No,Si,,No,CreditMethods.cs:2665
CustomerServiceController,/customerService/obtenerTipoGarantia,POST,CustomerServiceMethods.obtenerTipoGarantia,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CustomerServiceMethods.cs:44
CustomerServiceController,/customerService/obtenerVentanaConfirmacion,POST,CustomerServiceMethods.obtenerVentanaConfirmacion,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",No,CustomerServiceMethods.cs:155
CustomerServiceController,/customerService/unirCuenta,POST,CustomerServiceMethods.unirCuenta,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CustomerServiceMethods.cs:223
CustomerServiceController,/customerService/validarCliente,POST,CustomerServiceMethods.validarCliente,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CustomerServiceMethods.cs:261
CustomerServiceController,/customerService/nombreCliente,POST,CustomerServiceMethods.nombreCliente,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CustomerServiceMethods.cs:319
CustomerServiceController,/customerService/bitacoraAtencionClientes,POST,CustomerServiceMethods.bitacoraAtencionClientes,"ServicioAndroid, IntelisisTmp (linked server)",Mixto,Si,"SP SP_ACTES_REGISTRO escribe en ERPMAVI.IntelisisTMP.dbo.RM1138PendientesxValidar",No,CustomerServiceMethods.cs:442
CustomerServiceController,/customerService/obtenerCreditos,POST,CustomerServiceMethods.obtenerCreditos,IntelisisTmp,Si,No,"100% Intelisis (sCadenaConexion)",Si,CustomerServiceMethods.cs:505
CustomerServiceController,/customerService/obtenerQuejas,POST,CustomerServiceMethods.obtenerQuejas,ServicioAndroid,No,Si,,No,CustomerServiceMethods.cs:720
