Origin Controller,Ruta DMZ,HTTP Method,Ruta ServicioSAP,HTTP Method SAP,Programador,Conectado,Generado,Notas
CreditController,credit/getClienteFactura/{cliente}/{factura},GET→POST,credit/getClienteFactura/{cliente}/{factura},POST,Marcos,Si,Si,TZ01 - Migrado
CreditController,credit/getClienteSaldo/{cliente},GET,To Do,GET,Marcos,No,No,SD33 - WALLET
CreditController,credit/MonederoSaldoCredito,POST,To Do,GET,Javier,No,No,SD33 - WALLET
CreditController,credit/getSms,POST,To Do,GET,Diego,No,No,ANDROID - No requiere SAP
CreditController,credit/validateSms,POST,To Do,GET,Diego,No,No,ANDROID - No requiere SAP
CreditController,credit/codigoPromocion,POST,To Do,GET,Javier,No,No,SuccessFactors + BP05 + SIGMAVI - Requiere desarrollo
CreditController,credit/codigoRecomendado,POST,N/A,N/A,Deprecado,N/A,N/A,DEPRECADO
CreditController,credit/ExistRFCAndPhoneCte,POST,To Do,GET,Javier,No,No,"BP05 filtro genérico existe, falta SuccesFactor + SD36 + SD05"
CreditController,credit/getPlazos,GET,To Do,GET,Javier,No,No,TZ01 + SIGMAVI - Requiere desarrollo
CreditController,credit/getCreditAccount/{pAccount},GET,To Do,GET,Javier,No,No,Validar ZtipoCliente = PROSPECTO en filtro BP05
CreditController,credit/GetUnificationWalletStatus,POST,To Do,POST,Javier,No,No,BLOQUEADO - APIs/tablas no existen
CreditController,credit/CheckAccountsPreUnification,POST,To Do,GET,Javier,No,No,cteEnciarA + BP05_MA - Requiere desarrollo
CreditController,credit/SetUnificationWalletData,POST,To Do,GET,Javier,No,No,BLOQUEADO - APIs/tablas no existen
CreditController,credit/SolicitudMercancia,POST,To Do,GET,Diego,No,No,Migrar logica a SAP
CreditController,credit/guardardocumento,POST,To Do,GET,Diego,Si,Si,Migrar logica a SAP
CreditController,credit/SaveHaztenTransaction,POST,To Do,POST,Diego,No,No,EXT/SIGMAVI - No requiere SAP
CreditController,credit/CreditoWeb_FormDatos,POST,To Do,POST,Diego,No,No,CrediLana - No requiere SAP
CreditController,credit/CreditoWeb_SaveFirstData,POST,To Do,POST,Diego,No,No,CrediLana - No requiere SAP
